DMI Number,DOOH Enumearation ID
1,1
1.1,1
1.2,101
1.2.1,10102
1.2.2,101
1.2.3,10106
1.2.4,10101
1.2.5,10103
1.2.6,10107
1.2.7,10105
1.2.8,101
1.2.9,101
1.3,30102
1.3.1,301
1.3.2,30101
1.4,201
1.5,1
1.5.1,1
1.5.2,105
1.5.3,102
1.5.3.1,10201
1.5.3.2,10201
1.5.4,1
1.5.4.1,1
1.5.4.2,1
1.5.5,1
1.5.5.1,103
1.5.5.2,104
1.6,1
1.6.1,106
1.6.1.1,106
1.6.1.2,10602
1.6.2,10501
1.6.2.1,105
1.6.2.2,10502
1.6.3,10202
1.6.4,1
1.7,1
1.7.1,208
1.7.2,208
1.8,1
1.9,1
1.10,1
1.11,1
1.12,1
2,2
2.1,202
2.2,2
2.2.1,2
2.2.2,2
2.3,2
2.4,205
2.4.1,20502
2.5,2
2.6,2
2.7,2
2.8,203
2.8.1,20302
2.8.2,203
2.9,2
2.10,2
2.11,2
2.12,2
2.13,2
2.14,2
2.15,2
2.16,2
2.16.1,2
2.16.2,2
2.17,2
2.18,10
2.18.1,1001
2.18.2,10
2.19,2
2.20,2
2.21,207
2.22,2
3,3
3.1,3
3.1.1,3
3.1.2,3
3.1.3,3
3.2,3
3.2.1,3
3.2.2,3
3.2.3,3
4,5
4.1,501
4.1.1,501
4.1.2,501
4.1.3,501
4.1.4,501
4.1.5,501
4.1.6,501
4.1.7,501
4.1.8,501
4.1.9,501
4.1.10,501
4.1.11,501
4.1.12,501
4.1.13,501
4.1.14,501
4.1.15,501
4.1.16,501
4.1.17,501
4.1.18,501
4.1.19,501
4.1.20,501
4.1.21,501
4.1.22,501
4.1.23,501
4.1.24,501
4.1.25,501
4.1.26,501
4.1.27,501
4.1.28,501
4.2,501
4.3,501
4.4,502
4.5,501
5,
5.1,601
5.2,602
5.2.1,602
5.2.2,602
5.2.3,602
5.2.4,602
5.2.5,602
5.2.6,602
5.2.7,602
5.2.8,602
5.2.9,602
5.2.10,602
5.2.11,602
5.2.12,602
5.2.13,602
5.2.14,602
5.2.15,602
5.2.16,602
5.3,602
5.4,6
5.5,7
5.6,7
5.7,9
5.7.1,9
5.7.2,9
5.7.3,9
5.8,902
6,8
6.1,8
6.1.1,804
6.1.2,8
6.1.3,805
6.1.7,805
6.1.8,8
6.1.9,806
6.2,807
6.3,802
6.3.1,80201
6.4,8
6.5,803
6.5.1,808
6.5.2,401
6.5.3,8
6.5.4,80301
6.6,8
6.7,8
6.8,8
6.9,8
6.10,8
