v1.2 String List,v1.2 OpenOOH Enumearation ID,v1.1 OpenOOH Enumeration ID,v1.1 String List
transit,1,1,transit
transit.airports,101,101,transit.airports
transit.airports.arrivals_hall,10101,10101,transit.airports.arrivals_hall
transit.airports.baggage_claim,10102,10102,transit.airports.baggage_claim
transit.airports.departures_hall,10103,10103,transit.airports.departures_hall
transit.airports.food_court,10104,10104,transit.airports.food_court
transit.airports.gates,10105,10105,transit.airports.gates
transit.airports.lounges,10106,10106,transit.airports.lounges
transit.airports.shopping_area,10107,10107,transit.airports.shopping_area
transit.airports.bar,10108,101,transit.airports
transit.airports.spectacular,10109,101,transit.airports
transit.buses,102,102,transit.buses
transit.buses.bus_interior,10201,10201,transit.buses.bus
transit.buses.terminal,10202,10202,transit.buses.terminal
transit.buses.bus_exterior,10203,10203,transit.buses.bus_outside
transit.taxi_rideshare_tv,103,103,transit.taxi_rideshare_tv
transit.taxi_rideshare_top,104,104,transit.taxi_rideshare_top
transit.subway,105,105,transit.subway
transit.subway.interior,10501,10501,transit.subway.train
transit.subway.platform,10502,10502,transit.subway.platform
transit.subway.station,10503,10502,transit.subway.platform
transit.subway.exterior,10504,105,transit.subway
transit.train,106,106,transit.train_stations
transit.train.train_interior,10601,10601,transit.train_stations.train
transit.train.platform,10602,10602,transit.train_stations.platform
transit.train.train_exterior,10603,106,transit.train_stations
transit.train.station,10604,10602,transit.train_stations.platform
transit.ferry,107,107,transit.ferry
transit.tram,108,106,transit.train_stations
transit.ferry.interior,10701,106,transit.train_stations
transit.ferry.exterior,10702,106,transit.train_stations
transit.ferry.terminal,10703,106,transit.train_stations
transit.tram.interior,10801,106,transit.train_stations
transit.tram.exterior,10802,106,transit.train_stations
transit.tram.station,10803,106,transit.train_stations
transit.highway_rest_area,109,202,retail.convenience_store
transit.highway_rest_area.exterior,10901,302,outdoor.urban_panels
transit.highway_rest_area.concourse,10902,202,retail.convenience_store
transit.highway_rest_area.food_court,10903,202,retail.convenience_store
transit.highway_rest_area.restroom,10904,202,retail.convenience_store
retail,2,2,retail
retail.gas_stations,201,201,retail.gas_stations
retail.gas_stations.pump,20101,20101,retail.gas_stations.pump
retail.gas_stations.shop,20102,20102,retail.gas_stations.shop
retail.convenience_store,202,202,retail.convenience_store
retail.convenience_store.entrance,20201,202,retail.convenience_store
retail.convenience_store.check_out,20202,202,retail.convenience_store
retail.convenience_store.aisles,20203,202,retail.convenience_store
retail.convenience_store.exterior,20204,202,retail.convenience_store
retail.grocery,203,203,retail.grocery
retail.grocery.entrance,20301,20301,retail.grocery.shop_entrance
retail.grocery.check_out,20302,20302,retail.grocery.check_out
retail.grocery.aisles,20303,20303,retail.grocery.aisles
retail.grocery.exterior,20304,203,retail.grocery
retail.liquor_stores,204,204,retail.liquor_stores
retail.liquor_stores.entrance,20401,204,retail.liquor_stores
retail.liquor_stores.check_out,20402,204,retail.liquor_stores
retail.liquor_stores.aisles,20403,204,retail.liquor_stores
retail.liquor_stores.exterior,20404,204,retail.liquor_stores
retail.malls,205,205,retail.malls
retail.malls.concourse,20501,20501,retail.malls.concourse
retail.malls.food_court,20502,20502,retail.malls.food_court
retail.malls.spectacular,20503,20503,retail.malls.spectacular
retail.dispensaries,206,206,retail.dispensaries
retail.pharmacies,207,207,retail.pharmacies
retail.pharmacies.entrance,20701,207,retail.pharmacies
retail.pharmacies.check_out,20702,207,retail.pharmacies
retail.pharmacies.aisles,20703,207,retail.pharmacies
retail.pharmacies.exterior,20704,207,retail.pharmacies
retail.parking_garages,208,208,retail.parking_garages
retail.furniture,209,205,retail.malls
retail.apparel,210,205,retail.malls
retail.apparel.entrance,21001,205,retail.malls
retail.apparel.check_out,21002,205,retail.malls
retail.apparel.aisles,21003,205,retail.malls
retail.apparel.exterior,21004,205,retail.malls
retail.automotive,211,205,retail.malls
retail.laundromat,212,205,retail.malls
retail.vape_shop,213,205,retail.malls
retail.vape_shop.entrance,21301,205,retail.malls
retail.vape_shop.check_out,21302,205,retail.malls
retail.vape_shop.aisles,21303,205,retail.malls
retail.vape_shop.exterior,21304,205,retail.malls
retail.mass_merchandising,214,203,retail.grocery
retail.mass_merchandising.entrance,21401,203,retail.grocery
retail.mass_merchandising.check_out,21402,203,retail.grocery
retail.mass_merchandising.aisles,21403,203,retail.grocery
retail.mass_merchandising.exterior,21404,203,retail.grocery
retail.consumer_electronics,215,205,retail.malls
retail.consumer_electronics.entrance,21501,205,retail.malls
retail.consumer_electronics.check_out,21502,205,retail.malls
retail.consumer_electronics.aisles,21503,205,retail.malls
retail.consumer_electronics.exterior,21504,205,retail.malls
retail.other,216,205,retail.malls
retail.sporting_goods,217,205,retail.malls
